,"SC-superconducting, NM-normal, TS-transitional",,,,,,,Beam Parameters,,,Laser Parameters,,,Channel assignments,,,,,,,
20190708093751,Laser,100,1149,1150,No,52,,,,,1,101,8,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1148, 1146",
20190708100028,Laser,20,1800,1800,No,52,,,,,1,101,20,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1148, 1146",
20190708103246,Laser,20,1800,1800,No,52,,,,,1,101,20,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1148, 1146",
20190708110248,Laser,20,1549,1550,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1148, 1146",
20190708113020,Beam,20,,3600,Neutron,52,20190708113021,580,198.174,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1148, 1146",
20190708123304,Beam,20,,3600,Neutron,52,20190708123305,570,198.179,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1148, 1146",
20190708133330,Beam,20,,3600,Neutron,52,20190708123332,575,198.179,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1148, 1146",
20190708143352,Beam,20,,2544,Neutron,52,20190708143352,580,198.175,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1148, 1146",
20190708151650,Beam,20,,3600,Neutron,52,20190708151651,590,198.176,0.941,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1148, 1146",
20190708161659,Beam,20,,3600,Neutron,52,20190708161702,550,198.176,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1148, 1146",
20190708171734,Beam,20,,3600,Neutron,52,20190708171736,550,198.178,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1148, 1146","(BPM signal went bad, additional analysis needed)"
20190708181741,Beam,20,,3600,Neutron,52,20190708181745,590,198.177,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1148, 1146","(BPM signal went bad, additional analysis needed)"
20190708191753,Beam,20,,3600,Neutron,52,20190708191756,590,198.18,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1148, 1146","(BPM signal went bad, additional analysis needed)"
20190708201804,Beam,20,,3600,Neutron,52,20190708201808,590,198.179,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1148, 1146","(BPM signal went bad, additional analysis needed)"
20190708211823,Beam,20,,3600,Neutron,52,20190708211826,540,198.173,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1148, 1146","(BPM signal went bad, additional analysis needed)"
20190709093243,IV curve,100,,0,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,,
20190709094753,SC noise,100,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,,
20190709094952,NM noise,100,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,,
20190709095104,TS noise,100,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1157, 1167",
20190709095928,TS noise,100,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1157, 1167","Temperature not stable, retaking the transition noise"
20190709100552,Laser,100,300,300,No,52,,,,,1,101,40,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1157, 1167",
20190709101220,Laser,100,300,300,No,52,,,,,1,101,20,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1157, 1167",
20190709101816,Laser,100,300,300,No,52,,,,,1,101,10,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1157, 1167",
20190709102901,Laser,100,1800,1345,No,52,,,,,1,101,10,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1157, 1167",
20190709105323,Beam,100,,2768,Neutron,52,20190709105325,610,198.174,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1157, 1167","(Data taking canceled by Long because beam pick off signal goes bad. Only 2770 files) (BPM signal went bad, additional analysis needed)"
20190709114713,Beam,100,,514,Neutron,52,20190709114713,640,198.173,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1157, 1167",
20190709115925,Beam,100,,3600,Neutron,52,20190709115924,600,198.172,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1157, 1167",
20190709130048,Beam,100,,3600,Neutron,52,20190709130049,650,198.175,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1157, 1167",
20190709140208,Beam,100,,3600,Neutron,52,20190709140210,610,198.179,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1157, 1167",
20190709150316,Beam,100,,3600,Neutron,52,20190709150316,600,198.179,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1157, 1167",
20190709161044,Beam,0,,3600,Neutron,52,20190709161046,630,198.177,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1157, 1167",
20190709171051,Beam,0,,3600,Neutron,52,20190709171053,620,198.174,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1157, 1167",
20190709181058,Beam,0,,3600,Neutron,52,20190709181059,630,198.177,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1157, 1167",
20190709191253,Beam,0,,3600,Neutron,52,20190709191256,550,198.176,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1157, 1167",
20190709201333,Beam,0,,3600,Neutron,52,20190709201334,610,198.172,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1157, 1167",
20190709211843,Beam,0,,3600,Neutron,52,20190709211844,550,198.172,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1157, 1167",
20190710094159,IV curve,100,,0,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,,
20190710095208,SC noise,100,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,,
20190710095425,NM noise,100,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,,
20190710095544,TS noise,100,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1155 1165",
20190710100816,TS noise,100,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1155 1165",
20190710102553,Laser,100,300,300,No,52,,,,,1,101,40,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1155, 1165",
20190710103209,Laser,100,300,300,No,52,,,,,1,101,20,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1155, 1165",
20190710103734,Laser,100,300,300,No,52,,,,,1,101,10,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1155 1165",
20190710105509,Beam,100,,2149,Neutron,52,20190710105511,560,198.18,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1155 1165","Misclicked on the ""Quit"" button on the labview panel. Got back the current 230 mA."
20190710114035,Beam,100,,3600,Neutron,52,20190710114038,510,198.177,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1155 1165",
20190710124135,Beam,100,,3600,Neutron,52,20190710124137,510,198.176,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1155 1165",
20190710134154,Beam,100,,3600,Neutron,52,20190710134156,480,198.172,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1155 1165",
20190710144338,Beam,100,,3600,Neutron,52,20190710144339,480,198.172,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1155 1165",Beam current dropped to 300mA
20190710162204,Beam,100,,0,Neutron,52,20190710162208,450,198.174,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1155 1165",
20190710172306,Beam,100,,3600,Neutron,52,20190710172308,460,198.172,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1155 1165",
20190710182621,Beam,100,,3600,Neutron,52,20190710182619,490,198.18,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1155 1165",
20190710192650,Beam,100,,3600,Neutron,52,20190710192655,480,198.174,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1155 1165",
20190710202907,Beam,100,,3600,Neutron,52,20190710202913,490,198.174,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1155 1165",
20190710212959,Beam,100,,3600,Neutron,52,20190710213003,480,198.177,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1155 1165",
20190711092048,IV curve,100,,0,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,,
20190711092607,SC noise,100,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,,
20190711092829,SC noise,100,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,,
20190711094713,IV curve,100,,0,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,,
20190711095456,SC noise,100,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,,
20190711095828,NM noise,100,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,,
20190711100232,TS noise,100,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1150 1162",
20190711103520,TS noise,100,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1150 1162",
20190711105212,TS noise,100,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1150 1162",
20190711105608,Laser,100,300,300,No,52,,,,,1,101,40,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1150 1162",
20190711110126,Laser,100,300,300,No,52,,,,,1,101,20,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1150 1162",
20190711110634,Laser,100,300,300,No,52,,,,,1,101,10,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1150 1162",
20190711115308,Beam,100,,3600,Neutron,52,20190711115309,540,198.121,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1150 1162",
20190711125331,Beam,100,,3600,Neutron,52,20190711125332,540,198.127,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1150 1162",
20190711135450,Beam,100,,3600,Neutron,52,20190711135451,500,198.121,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1150 1162",
20190711145523,Beam,100,,3600,Neutron,52,20190711145524,460,198.123,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1150 1162",
20190711155538,Beam,100,,3600,Neutron,52,20190711155539,440,198.124,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1150 1162",
20190711165706,Beam,100,,3600,Neutron,52,20190711165710,460,198.128,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1150 1162",
20190711175730,Beam,100,,3600,Neutron,52,20190711175732,490,198.123,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1150 1162",
20190711190009,Beam,100,,3600,Neutron,52,20190711190010,460,198.122,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1150 1162",
20190711200224,Beam,100,,3600,Neutron,52,20190711200227,500,198.126,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1150 1162",
20190711210303,Beam,100,,3600,Neutron,52,20190711210305,490,198.126,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1150 1162",
20190711220354,Beam,100,,2169,Neutron,52,20190711220357,500,198.128,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1150 1162",stopped before end.
20190712092103,IV curve,100,,0,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,,
20190712092642,SC noise,100,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,,
20190712092754,NM noise,100,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,,
20190712093252,TS noise,100,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1152 1163",
20190712093948,Laser,100,300,300,No,52,,,,,1,101,40,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1152 1163",
20190712094628,Laser,100,300,300,No,52,,,,,1,101,20,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1152 1163",
20190712095215,Laser,100,300,300,No,52,,,,,1,101,10,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1152 1163",
20190712100045,Laser,100,300,300,No,52,,,,,1,101,10,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1152 1163",
20190712100622,Laser,100,-1,3600,No,52,,,,,1,101,4,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1152 1163",
20190712121443,Beam + Laser,100,,3600,Neutron,52,20190712121444,520,198.174,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1152 1163",
20190712131838,Beam + Laser,100,,3275,Neutron,52,20190712131838,500,198.173,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1152 1163",(only 3274 traces) The entire first set of beam data and the second set up to around trace 3070 was taken with the laser on. The second data of beam data was ended prematurely a few minutes after the laser was turned off so that the DAQ could be reset.
20190712141424,Beam,100,,881,Neutron,52,20190712141426,500,198.175,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1152 1163","(only 880 traces) The third set of beam data was ended prematurely due to a monitor freeze, which required a computer shut down to fix."
20190712142922,Beam,100,,3600,Neutron,52,20190712142926,470,198.173,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1152 1163",
20190712153112,Beam,100,,3600,Neutron,52,20190712153116,450,198.171,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1152 1163",
20190712163122,Beam,100,,3261,Neutron,52,20190712163124,500,198.175,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1152 1163",
20190712173329,Beam,100,,3600,Neutron,52,20190712173333,510,198.18,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1152 1163",
20190712183355,Beam,100,,3600,Neutron,52,20190712183355,470,198.173,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1152 1163",
20190712193523,Beam,100,,3600,Neutron,52,20190712193523,450,198.176,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1152 1163",
20190712203704,Beam,100,,3600,Neutron,52,20190712203707,470,198.173,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1152 1163",
20190712213732,Beam,100,,3600,Neutron,52,20190712213733,480,198.177,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1152 1163",
20190712224333,Laser,100,300,300,No,52,,,,,2,1000,127,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1152 1163",
20190712224851,Laser,100,600,600,No,52,,,,,4,1000,127,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1152 1163","Temperature was not very stable, may need baseline correction"
20190713095507,IV curve,100,,0,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,,
20190713100104,IV curve,100,,0,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,,
20190713100805,SC noise,100,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,,
20190713100910,NM noise,100,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,,
20190713101329,TS noise,100,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163",
20190713103820,SC noise,100,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,,
20190713103658,NM noise,100,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,,
20190713103233,TS noise,100,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163",
20190713105143,Laser,100,300,300,No,52,,,,,1,101,40,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163",
20190713105700,Laser,100,300,300,No,52,,,,,1,101,20,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163",
20190713110214,Laser,100,300,300,No,52,,,,,1,101,20,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163",
20190713115441,Fe55,0,600,600,Fe55,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163",
20190713120906,Fe55,1,600,600,Fe55,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163",
20190713122159,Fe55,2,600,600,Fe55,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163",
20190713123350,Fe55,5,600,600,Fe55,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163",
20190713124547,Fe55,10,600,600,Fe55,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163",
20190713125831,Fe55,20,600,600,Fe55,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163",
20190713131047,Fe55,30,600,600,Fe55,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163",
20190713132251,Fe55,15,600,600,Fe55,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163",
20190713142501,Co57,0,300,300,Co57,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163","Center (x = 6.4cm), z = 0 cm"
20190713143138,Co57,0,300,300,Co57,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163","Left x = 7.4cm, z = 0 cm"
20190713143809,Co57,0,300,300,Co57,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163","Left x = 8.4cm, z = 0 cm (Rate is below 1Hz at this point)"
20190713144341,Co57,0,300,300,Co57,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163","Left x = 6.9cm, z = 0 cm"
20190713144918,Co57,0,300,300,Co57,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163","Right x = 5.9cm, z = 0 cm (The rate here is higher than x =6.9)"
20190713145438,Co57,0,300,300,Co57,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163","Right x = 5.4cm, z = 0 cm"
20190713150006,Co57,0,300,300,Co57,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163","Right x = 4.4cm, z = 0 cm"
20190713150734,Co57,0,300,300,Co57,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163","Center it to x = 6.4 cm, z = -1 cm"
20190713151317,Co57,0,300,300,Co57,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163","Center it to x = 6.4 cm, z = 1 cm"
20190713151833,Co57,0,300,300,Co57,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163","Center it to x = 6.4 cm, z = 2 cm"
20190713152738,Co57,0,300,300,Co57,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163","Center it to x = 6.4 cm, z = 0.5cm y = y2 (Accidentally moved the stage along the beam... Not sure where it is now in the beam direction, different y from now on)"
20190713153831,Co57,0,300,120,Co57,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163","Center it to x = 6.4 cm, y = y2, z = 1 cm"
20190713154127,Co57,0,300,120,Co57,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163","Center it to x = 6.4 cm, y = y2, z = 1.5 cm"
20190713154359,Co57,0,300,120,Co57,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163","Center it to x = 6.4 cm, y = y2, z=0  cm"
20190713154644,Co57,0,300,120,Co57,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163","Center it to x = 6.4 cm, y = y2, z = -0.5 cm "
20190713154910,Co57,0,300,120,Co57,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163","Center it to x = 6.4 cm, y = y2, z = -1 cm"
20190713155223,Co57,0,300,120,Co57,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163","x = 5.9 cm, y = y2, z = 0.5 cm"
20190713155444,Co57,0,300,120,Co57,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163","x = 5.4 cm, y = y2, z = 0.5 cm"
20190713155706,Co57,0,300,120,Co57,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163","x = 4.9 cm, y = y2, z = 0.5 cm"
20190713155928,Co57,0,300,120,Co57,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163","x = 4.4 cm, y = y2, z = 0.5 cm"
20190713160158,Co57,0,300,120,Co57,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163","x = 6.9 cm, y = y2, z = 0.5 cm "
20190713160432,Co57,0,300,120,Co57,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163","x = 7.4 cm, y = y2, z = 0.5 cm"
20190713170043,Laser,250,3600,3600,No,52,,,,,1,101,2,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163",
20190713180008,Laser,250,1800,1800,No,52,,,,,1,101,2,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163",
20190713184027,Laser,250,3600,3600,No,52,,,,,1,101,4,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163",
20190713194235,Co57,100,1200,1200,Co57,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163","x=5.9, z = -2.5 cm"
20190713203258,Co57,0,,120,Co57,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163","Rate measurement after moving the fridge (Source at x=6.4,z=0): "
20190713221408,Background,123,,116,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163", Not too much point..
20190713221618,Background,100,,600,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1151 1163",
20190714093513,IV curve,0,,0,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,,
20190714105212,IV curve,0,,0,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,,
20190714110205,SC noise,0,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,,
20190714110321,NM noise,0,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,,
20190714110536,TS noise,0,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1143 1153",
20190714110650,Laser,0,300,300,No,52,,,,,1,101,40,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1143 1153",
20190714111206,Laser,0,300,300,No,52,,,,,1,101,20,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1143 1153",
20190714111800,Laser,0,300,300,No,52,,,,,1,101,10,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1143 1153",
20190714112331,Laser,0,-1,2659,No,52,,,,,1,101,4,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1143 1153",
20190714120848,Beam + Laser,0,,3600,Neutron,52,20190714120850,500,198.173,0.94,1,0.5,20,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1143 1153",
20190714130908,Beam + Laser,0,,3600,Neutron,52,20190714130913,450,198.173,0.94,1,0.5,20,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1143 1153",
20190714141008,Beam + Laser,0,,3600,Neutron,52,20190714141008,500,198.174,0.94,1,0.5,20,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1143 1153",
20190714151040,Beam + Laser,0,,3600,Neutron,52,20190714151040,490,198.171,0.94,1,0.5,20,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1143 1153",
20190714161057,Beam + Laser,0,,3600,Neutron,52,20190714161057,490,198.175,0.94,1,0.5,20,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1143 1153",
20190714171204,Beam + Laser,0,,3600,Neutron,52,20190714171204,490,198.173,0.94,1,0.5,20,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1143 1153",
20190714181226,Beam + Laser,0,,3600,Neutron,52,20190714181226,480,198.179,0.94,1,0.5,20,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1143 1153",
20190714191240,Beam + Laser,0,,3600,Neutron,52,20190714191245,490,198.171,0.94,1,0.5,20,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1143 1153",
20190714203930,Beam + Laser,0,,3600,Neutron,52,20190714203932,500,198.171,0.94,1,0.5,20,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1143 1153",
20190714214924,Beam + Laser,0,,3600,Neutron,52,20190714214925,460,198.174,0.94,1,0.5,20,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1143 1153",
20190715091734,IV curve,100,,0,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,,
20190715092159,IV curve,100,,0,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,,
20190715092645,SC noise,100,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,,
20190715092740,NM noise,100,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,,
